2025-05-28 18:53:17,775 - INFO - Running conjugate priors for file: adni
2025-05-28 18:53:17,782 - INFO - Number of biomarkers: 12
2025-05-28 19:02:01,811 - INFO - Iteration 1000/10000, Acceptance Ratio: 3.90%, Log Likelihood: -61908.5484, Current Accepted Order: dict_values([np.int64(4), np.int64(2), np.int64(3), np.int64(1), np.int64(9), np.int64(12), np.int64(6), np.int64(11), np.int64(10), np.int64(5), np.int64(7), np.int64(8)]), 
2025-05-28 19:10:41,490 - INFO - Iteration 2000/10000, Acceptance Ratio: 2.60%, Log Likelihood: -61903.7097, Current Accepted Order: dict_values([np.int64(4), np.int64(2), np.int64(3), np.int64(1), np.int64(9), np.int64(12), np.int64(6), np.int64(11), np.int64(10), np.int64(5), np.int64(8), np.int64(7)]), 
2025-05-28 19:19:06,762 - INFO - Iteration 3000/10000, Acceptance Ratio: 2.70%, Log Likelihood: -61908.2331, Current Accepted Order: dict_values([np.int64(4), np.int64(2), np.int64(3), np.int64(1), np.int64(9), np.int64(12), np.int64(6), np.int64(11), np.int64(10), np.int64(5), np.int64(7), np.int64(8)]), 
2025-05-28 19:27:42,395 - INFO - Iteration 4000/10000, Acceptance Ratio: 3.02%, Log Likelihood: -61909.0248, Current Accepted Order: dict_values([np.int64(3), np.int64(4), np.int64(2), np.int64(1), np.int64(9), np.int64(12), np.int64(6), np.int64(11), np.int64(10), np.int64(5), np.int64(7), np.int64(8)]), 
2025-05-28 19:36:24,343 - INFO - Iteration 5000/10000, Acceptance Ratio: 2.92%, Log Likelihood: -61905.5771, Current Accepted Order: dict_values([np.int64(3), np.int64(4), np.int64(2), np.int64(1), np.int64(9), np.int64(12), np.int64(6), np.int64(10), np.int64(11), np.int64(5), np.int64(7), np.int64(8)]), 
2025-05-28 19:45:02,122 - INFO - Iteration 6000/10000, Acceptance Ratio: 3.03%, Log Likelihood: -61849.3005, Current Accepted Order: dict_values([np.int64(3), np.int64(4), np.int64(2), np.int64(1), np.int64(8), np.int64(12), np.int64(9), np.int64(10), np.int64(11), np.int64(5), np.int64(7), np.int64(6)]), 
2025-05-28 19:53:36,080 - INFO - Iteration 7000/10000, Acceptance Ratio: 2.74%, Log Likelihood: -61848.7187, Current Accepted Order: dict_values([np.int64(2), np.int64(4), np.int64(3), np.int64(1), np.int64(9), np.int64(11), np.int64(8), np.int64(10), np.int64(12), np.int64(5), np.int64(6), np.int64(7)]), 
2025-05-28 20:02:05,928 - INFO - Iteration 8000/10000, Acceptance Ratio: 2.52%, Log Likelihood: -61846.0385, Current Accepted Order: dict_values([np.int64(3), np.int64(4), np.int64(2), np.int64(1), np.int64(9), np.int64(12), np.int64(8), np.int64(11), np.int64(10), np.int64(5), np.int64(7), np.int64(6)]), 
2025-05-28 20:10:47,672 - INFO - Iteration 9000/10000, Acceptance Ratio: 2.34%, Log Likelihood: -61844.4124, Current Accepted Order: dict_values([np.int64(3), np.int64(4), np.int64(2), np.int64(1), np.int64(8), np.int64(11), np.int64(9), np.int64(10), np.int64(12), np.int64(5), np.int64(7), np.int64(6)]), 
2025-05-28 20:19:07,458 - INFO - Iteration 10000/10000, Acceptance Ratio: 2.32%, Log Likelihood: -61844.7756, Current Accepted Order: dict_values([np.int64(3), np.int64(2), np.int64(4), np.int64(1), np.int64(8), np.int64(10), np.int64(9), np.int64(12), np.int64(11), np.int64(5), np.int64(7), np.int64(6)]), 
2025-05-28 20:19:10,442 - INFO - Results saved to adni_results/conjugate_priors/results/adni_results.json
