2025-07-11 17:35:06,553 - INFO - Running em for file: j200_r0.25_Esn_kjContinuousBeta_m0
2025-07-11 17:35:06,555 - INFO - Number of biomarkers: 10
2025-07-11 17:35:07,425 - INFO - Iteration 20/200, Acceptance Ratio: 55.00%, Log Likelihood: -4741.8486, Current Accepted Order: dict_values([np.int64(3), np.int64(7), np.int64(2), np.int64(1), np.int64(6), np.int64(5), np.int64(4), np.int64(9), np.int64(10), np.int64(8)]), 
2025-07-11 17:35:08,281 - INFO - Iteration 40/200, Acceptance Ratio: 42.50%, Log Likelihood: -4731.8442, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(4), np.int64(8), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(3)]), 
2025-07-11 17:35:09,135 - INFO - Iteration 60/200, Acceptance Ratio: 31.67%, Log Likelihood: -4730.0830, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(7), np.int64(8), np.int64(4), np.int64(5), np.int64(9), np.int64(10), np.int64(3)]), 
2025-07-11 17:35:09,990 - INFO - Iteration 80/200, Acceptance Ratio: 25.00%, Log Likelihood: -4730.0641, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(5), np.int64(8), np.int64(4), np.int64(7), np.int64(9), np.int64(10), np.int64(3)]), 
2025-07-11 17:35:10,843 - INFO - Iteration 100/200, Acceptance Ratio: 23.00%, Log Likelihood: -4724.3649, Current Accepted Order: dict_values([np.int64(1), np.int64(3), np.int64(2), np.int64(5), np.int64(8), np.int64(7), np.int64(4), np.int64(9), np.int64(10), np.int64(6)]), 
2025-07-11 17:35:11,697 - INFO - Iteration 120/200, Acceptance Ratio: 20.00%, Log Likelihood: -4725.6383, Current Accepted Order: dict_values([np.int64(1), np.int64(3), np.int64(2), np.int64(6), np.int64(8), np.int64(7), np.int64(4), np.int64(9), np.int64(10), np.int64(5)]), 
2025-07-11 17:35:12,551 - INFO - Iteration 140/200, Acceptance Ratio: 18.57%, Log Likelihood: -4722.6277, Current Accepted Order: dict_values([np.int64(2), np.int64(3), np.int64(1), np.int64(6), np.int64(7), np.int64(8), np.int64(4), np.int64(9), np.int64(10), np.int64(5)]), 
2025-07-11 17:35:13,405 - INFO - Iteration 160/200, Acceptance Ratio: 16.25%, Log Likelihood: -4722.6277, Current Accepted Order: dict_values([np.int64(2), np.int64(3), np.int64(1), np.int64(6), np.int64(7), np.int64(8), np.int64(4), np.int64(9), np.int64(10), np.int64(5)]), 
2025-07-11 17:35:14,260 - INFO - Iteration 180/200, Acceptance Ratio: 14.44%, Log Likelihood: -4722.6277, Current Accepted Order: dict_values([np.int64(2), np.int64(3), np.int64(1), np.int64(6), np.int64(7), np.int64(8), np.int64(4), np.int64(9), np.int64(10), np.int64(5)]), 
2025-07-11 17:35:15,116 - INFO - Iteration 200/200, Acceptance Ratio: 13.00%, Log Likelihood: -4722.6277, Current Accepted Order: dict_values([np.int64(2), np.int64(3), np.int64(1), np.int64(6), np.int64(7), np.int64(8), np.int64(4), np.int64(9), np.int64(10), np.int64(5)]), 
2025-07-11 17:35:15,171 - INFO - Results saved to local_results/em/results/j200_r0.25_Esn_kjContinuousBeta_m0_results.json
