2025-07-11 17:35:15,172 - INFO - Running hard kmeans for file: j200_r0.25_Esn_kjContinuousBeta_m0
2025-07-11 17:35:15,174 - INFO - Number of biomarkers: 10
2025-07-11 17:35:15,633 - INFO - Iteration 20/200, Acceptance Ratio: 20.00%, Log Likelihood: -6009.8591, Current Accepted Order: dict_values([np.int64(3), np.int64(6), np.int64(1), np.int64(8), np.int64(4), np.int64(10), np.int64(5), np.int64(9), np.int64(2), np.int64(7)]), 
2025-07-11 17:35:16,077 - INFO - Iteration 40/200, Acceptance Ratio: 27.50%, Log Likelihood: -5621.5563, Current Accepted Order: dict_values([np.int64(2), np.int64(4), np.int64(1), np.int64(9), np.int64(3), np.int64(10), np.int64(5), np.int64(8), np.int64(7), np.int64(6)]), 
2025-07-11 17:35:16,520 - INFO - Iteration 60/200, Acceptance Ratio: 26.67%, Log Likelihood: -5359.1969, Current Accepted Order: dict_values([np.int64(2), np.int64(3), np.int64(1), np.int64(7), np.int64(4), np.int64(8), np.int64(9), np.int64(5), np.int64(10), np.int64(6)]), 
2025-07-11 17:35:16,962 - INFO - Iteration 80/200, Acceptance Ratio: 22.50%, Log Likelihood: -5344.2096, Current Accepted Order: dict_values([np.int64(1), np.int64(3), np.int64(2), np.int64(7), np.int64(4), np.int64(8), np.int64(9), np.int64(6), np.int64(10), np.int64(5)]), 
2025-07-11 17:35:17,404 - INFO - Iteration 100/200, Acceptance Ratio: 21.00%, Log Likelihood: -5279.0489, Current Accepted Order: dict_values([np.int64(1), np.int64(5), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(9), np.int64(8), np.int64(10), np.int64(7)]), 
2025-07-11 17:35:17,845 - INFO - Iteration 120/200, Acceptance Ratio: 18.33%, Log Likelihood: -5273.5444, Current Accepted Order: dict_values([np.int64(2), np.int64(5), np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(9), np.int64(8), np.int64(10), np.int64(7)]), 
2025-07-11 17:35:18,287 - INFO - Iteration 140/200, Acceptance Ratio: 15.71%, Log Likelihood: -5273.5444, Current Accepted Order: dict_values([np.int64(2), np.int64(5), np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(9), np.int64(8), np.int64(10), np.int64(7)]), 
2025-07-11 17:35:18,728 - INFO - Iteration 160/200, Acceptance Ratio: 13.75%, Log Likelihood: -5273.5444, Current Accepted Order: dict_values([np.int64(2), np.int64(5), np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(9), np.int64(8), np.int64(10), np.int64(7)]), 
2025-07-11 17:35:19,170 - INFO - Iteration 180/200, Acceptance Ratio: 12.78%, Log Likelihood: -5268.0757, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(9), np.int64(8), np.int64(10), np.int64(7)]), 
2025-07-11 17:35:19,612 - INFO - Iteration 200/200, Acceptance Ratio: 11.50%, Log Likelihood: -5268.0757, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(9), np.int64(8), np.int64(10), np.int64(7)]), 
2025-07-11 17:35:19,667 - INFO - Results saved to local_results/hard_kmeans/results/j200_r0.25_Esn_kjContinuousBeta_m0_results.json
